model,variable,n,pearson_r,spearman_rho,linear_slope,linear_intercept,abs_pearson_r,abs_spearman_rho
newtonian_outer,SBeff,87,0.5143874184927123,0.6295371494975663,7.824023114410137e-05,-0.281175707385114,0.5143874184927123,0.6295371494975663
newtonian_outer,S_struct,87,0.4409280755682044,0.5844427216600379,0.2632512159609815,-0.5326845175866965,0.4409280755682044,0.5844427216600379
newtonian_outer,T,87,-0.492523753321483,-0.5619068180413505,-0.01932640986639495,-0.13075482363875204,0.492523753321483,0.5619068180413505
newtonian_outer,S_internal,87,0.37507281796899233,0.5320887361333997,0.31909860214922336,-0.5844865455024303,0.37507281796899233,0.5320887361333997
newtonian_outer,log10_SBdisk,87,0.5251511372928708,0.5307312718095587,0.08188871816054263,-0.4731216474316774,0.5251511372928708,0.5307312718095587
newtonian_outer,SBdisk,87,0.38819882063856415,0.5307312718095587,1.2380512516896119e-05,-0.26531054010733496,0.38819882063856415,0.5307312718095587
newtonian_outer,v_flat_obs_km_s,87,0.5072269988282164,0.5294342786323539,0.0006992326857472962,-0.34702671641027183,0.5072269988282164,0.5294342786323539
newtonian_outer,S_star_gas,87,0.40321647180449793,0.5232953495007142,0.6603178187871385,-0.920148255568143,0.40321647180449793,0.5232953495007142
newtonian_outer,M_gas_Msun,87,0.36281730189986716,0.4933157151523922,3.353288234687433e-12,-0.2717567541990105,0.36281730189986716,0.4933157151523922
newtonian_outer,Q_eff,87,0.40830390871832023,0.4533508302646647,0.22081147664944947,-0.5157947438280425,0.40830390871832023,0.4533508302646647
newtonian_outer,Rdisk,87,0.34078035982003047,0.37754590606206095,0.014264615635596722,-0.2918775571440284,0.34078035982003047,0.37754590606206095
newtonian_outer,Reff,87,0.3359514577876876,0.3698414796806115,0.012604036041175859,-0.29878674715426407,0.3359514577876876,0.3698414796806115
newtonian_outer,RHI,87,0.20685768875181776,0.35031075151169855,0.0014094701805730486,-0.2722234393253777,0.20685768875181776,0.35031075151169855
newtonian_outer,r_over_Rdisk_eval,87,-0.17028334886097396,-0.06802088751354307,-0.00942333816563601,-0.2046064620097817,0.17028334886097396,0.06802088751354307
newtonian_outer,H_halo,87,-0.14319769833877044,-0.06802088751354307,-0.31467125657315925,0.14928765892431417,0.14319769833877044,0.06802088751354307
