object_name,canonical_name,Vflat,e_Vflat,L36,MHI,Rdisk,RHI,RHI_over_Rdisk,direct_hi_extent_overlap,m51_primary_score,m54_organization_score,organization_label_settled,organization_label_score,quality_quarantine_flag,quality_measurement_limited_flag,taxonomy_stage,branch_role
F579-V1,F579V1,112.1,13.4,11.848,2.245,3.37,20.96,6.2195845697329375,True,0.620649655144032,0.5603248275720161,1,0.6425911368515081,False,True,mature_or_control,physical_ordering_candidate_or_control
F583-1,F5831,85.8,3.6,0.986,2.126,2.36,15.65,6.63135593220339,True,0.0,0.25,0,0.4462449453861865,False,False,juvenile_forming,physical_ordering_candidate_or_control
IC4202,IC4202,242.6,11.0,179.749,12.326,4.78,32.13,6.7217573221757325,True,1.0,0.75,1,0.6703756463172738,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC0024,NGC0024,106.3,7.9,3.889,0.676,1.34,7.29,5.440298507462686,True,0.5500511582606858,0.525025579130343,1,0.7824019726063639,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC0100,NGC0100,88.1,6.4,3.232,1.99,1.66,16.36,9.855421686746988,True,0.889973482387162,0.6949867411935811,0,0.3855734141507814,False,True,failed_stalled,physical_ordering_candidate_or_control
NGC0801,NGC0801,220.1,6.2,312.57,23.201,8.72,44.99,5.159403669724771,True,0.8143284579160999,0.6571642289580499,1,0.789187253020455,False,False,true_falsifier_candidate,physical_ordering_candidate_or_control
NGC0891,NGC0891,216.1,5.7,138.34,4.462,2.55,18.16,7.121568627450981,True,1.0,0.75,1,0.6318659252241229,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC1003,NGC1003,109.8,4.2,6.82,5.88,1.61,33.33,20.701863354037265,True,0.9098233875851,0.70491169379255,0,0.3738806087009397,False,False,failed_stalled,physical_ordering_candidate_or_control
NGC1090,NGC1090,164.4,3.7,72.045,8.783,3.53,30.49,8.637393767705383,True,1.0,0.75,0,0.5501768418325899,False,False,true_falsifier_candidate,physical_ordering_candidate_or_control
NGC2403,NGC2403,131.2,4.9,10.041,3.199,1.39,15.11,10.870503597122305,True,1.0,0.75,0,0.5105108966030939,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC2841,NGC2841,284.8,8.6,188.121,9.775,3.64,45.12,12.395604395604394,True,1.0,0.75,0,0.5542143616632161,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC2903,NGC2903,184.6,5.6,81.863,2.552,2.33,13.76,5.90557939914163,True,1.0,0.75,1,0.7517342285708569,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC2998,NGC2998,209.9,8.1,150.902,23.451,6.2,43.58,7.029032258064516,True,1.0,0.75,1,0.6352352489850656,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC3109,NGC3109,66.2,2.6,0.194,0.477,1.56,6.0,3.846153846153846,True,0.0,0.25,0,0.573996418462721,False,False,juvenile_forming,physical_ordering_candidate_or_control
NGC3198,NGC3198,150.1,3.9,38.279,10.869,3.14,35.66,11.35668789808917,True,1.0,0.75,0,0.4208310953437688,False,False,true_falsifier_candidate,physical_ordering_candidate_or_control
NGC3521,NGC3521,213.7,15.9,84.836,4.154,2.4,18.85,7.854166666666668,True,1.0,0.75,0,0.5715241143402278,False,False,mature_or_control,physical_ordering_candidate_or_control
NGC3741,NGC3741,50.1,2.1,0.028,0.182,0.2,4.2,21.0,True,0.5790697928386082,0.5395348964193041,0,0.3888942494661135,False,False,juvenile_forming,physical_ordering_candidate_or_control
