gate_name,xcol,placement,xcrit,k,median_abs_log10_error,mean_abs_log10_error,max_abs_log10_error,frac_within_010_dex,frac_within_015_dex,n_above_020_dex,delta_median_abs_vs_base,delta_frac010_vs_base,target_A,target_new_log10_error,target_new_abs_log10_error
stellar_fraction_source_gate,star_frac,source,0.5983732945942856,12.0,0.08916439475147978,0.19272457132922133,0.7147185829596425,0.5057471264367817,0.5862068965517241,35,0.04755049528212488,-0.4482758620689654,0.006597076818925411,-0.31302198490109256,0.31302198490109256
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.4016267054057144,12.0,0.08916439475147978,0.1927245713292214,0.7147185829596429,0.5057471264367817,0.5862068965517241,35,0.04755049528212488,-0.4482758620689654,0.006597076818925407,-0.3130219849010927,0.3130219849010927
stellar_fraction_source_gate,star_frac,source,0.5983732945942856,8.0,0.08929085785605839,0.14113376347201864,0.47982703415846206,0.5287356321839081,0.6206896551724138,25,0.047676958386703494,-0.425287356321839,0.03412492437881496,-0.13459194578977896,0.13459194578977896
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.4016267054057144,8.0,0.08929085785605839,0.14113376347201867,0.47982703415846173,0.5287356321839081,0.6206896551724138,25,0.047676958386703494,-0.425287356321839,0.03412492437881498,-0.13459194578977896,0.13459194578977896
sigma_star_source_gate,log10_Sigma_star,source,8.236418482395749,4.0,0.0922323904050332,0.1723383578223082,0.7563941559005719,0.5172413793103449,0.5977011494252874,30,0.0506184909356783,-0.4367816091954022,0.021027174759814405,-0.18716463915176287,0.18716463915176287
sigma_baryon_source_gate,log10_Sigma_baryon,source,8.47847740168307,8.0,0.09418586398417277,0.21484491214750562,1.315752254212958,0.5172413793103449,0.5862068965517241,32,0.05257196451481787,-0.4367816091954022,0.024852821817428938,-0.1690159436633847,0.1690159436633847
sigma_star_source_gate,log10_Sigma_star,source,8.236418482395749,8.0,0.10423015107329962,0.30873705850313227,1.4571954571228143,0.4942528735632184,0.5402298850574713,35,0.06261625160394473,-0.4597701149425287,0.0004611266945343177,-0.6019048041595056,0.6019048041595056
stellar_fraction_source_gate,star_frac,source,0.5983732945942856,20.0,0.10672980243032039,0.30110516615296146,1.1868120662185218,0.4942528735632184,0.5632183908045977,35,0.06511590296096549,-0.4597701149425287,0.00023457134659362716,-0.6752911299539055,0.6752911299539055
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.4016267054057144,20.0,0.10672980243032039,0.30110516615296296,1.186812066218459,0.4942528735632184,0.5632183908045977,35,0.06511590296096549,-0.4597701149425287,0.0002345713465935484,-0.6752911299539419,0.6752911299539419
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.24299209346687176,4.0,0.11210984082909296,0.12886418783248485,0.33415390496111036,0.45977011494252873,0.632183908045977,19,0.07049594135973807,-0.49425287356321834,0.09062382612092457,-0.028549271686550193,0.028549271686550193
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.18132839960010358,4.0,0.12309950699866215,0.14473298413350358,0.3567126162399526,0.40229885057471265,0.5632183908045977,25,0.08148560752930725,-0.5517241379310345,0.07224554372184011,-0.05315710421923722,0.05315710421923722
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.1420407698912605,4.0,0.13292789516466252,0.15569698612370939,0.37151382080068307,0.3333333333333333,0.5172413793103449,30,0.09131399569530763,-0.6206896551724137,0.06239480296780775,-0.06907276579579429,0.06907276579579429
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.24299209346687176,8.0,0.14479695161803008,0.2102590958409542,0.6166157178663023,0.4367816091954023,0.5057471264367817,42,0.10318305214867518,-0.5172413793103448,0.009833449607883016,-0.2696833960628648,0.2696833960628648
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.0840737408333356,4.0,0.15310846798363875,0.17320702284790837,0.3938736837302592,0.27586206896551724,0.4942528735632184,35,0.11149456851428385,-0.6781609195402298,0.050129543356813744,-0.09283643306986164,0.09283643306986164
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.06812206310109603,4.0,0.15881875873886678,0.17827966632113357,0.4001237979303275,0.27586206896551724,0.4942528735632184,37,0.11720485926951188,-0.6781609195402298,0.047177039048910685,-0.09942720020761839,0.09942720020761839
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.18132839960010358,8.0,0.1896389366559813,0.2436143834039893,0.6700231206390858,0.3448275862068966,0.47126436781609193,43,0.1480250371866264,-0.6091954022988505,0.006027405913673012,-0.3228272602339515,0.3228272602339515
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.24299209346687176,12.0,0.21318232073047216,0.2991054468234196,0.9212655457021492,0.4482758620689655,0.47126436781609193,46,0.17156842126111727,-0.5057471264367815,0.0009887053101431675,-0.5190931535336669,0.5190931535336669
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.1420407698912605,8.0,0.2198550373655059,0.26761462344861614,0.7040831516638762,0.28735632183908044,0.4482758620689655,46,0.178241137896151,-0.6666666666666666,0.004408976617471749,-0.35677542130227097,0.35677542130227097
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.0840737408333356,8.0,0.2661300831956637,0.3062453106362671,0.7543675536686796,0.21839080459770116,0.3218390804597701,47,0.22451618372630883,-0.735632183908046,0.0027774791945892607,-0.4069471665938898,0.4069471665938898
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.06812206310109603,8.0,0.2791391584379988,0.3174475371727526,0.7682097768889111,0.19540229885057472,0.3218390804597701,48,0.2375252589686439,-0.7586206896551724,0.0024455331225058385,-0.42076648287247276,0.42076648287247276
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.18132839960010358,12.0,0.2847274223057124,0.34897304991133604,1.001593740440837,0.3218390804597701,0.4482758620689655,47,0.2431135228363575,-0.632183908045977,0.00047198588968944133,-0.5993776163705875,0.5993776163705875
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.1420407698912605,12.0,0.33422268031531105,0.38562409576040557,1.052776685168064,0.25287356321839083,0.39080459770114945,47,0.29260878084595615,-0.7011494252873562,0.00029461663569052554,-0.6505455537329867,0.6505455537329867
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.24299209346687176,20.0,0.3517263728367084,0.4816633723268405,1.531280778492227,0.42528735632183906,0.45977011494252873,47,0.3101124733673535,-0.5287356321839081,9.828558917512886e-06,-1.019737408853102,1.019737408853102
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.0840737408333356,12.0,0.40831860721260593,0.4453551412404441,1.1282974245458617,0.20689655172413793,0.27586206896551724,56,0.36670470774325103,-0.7471264367816092,0.00014696850369111392,-0.7260538020570474,0.7260538020570474
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.06812206310109603,12.0,0.4288522397621354,0.46281409553776387,1.1490799871313773,0.1839080459770115,0.22988505747126436,58,0.3872383402927805,-0.7701149425287356,0.00012136757792469144,-0.7468341989475495,0.7468341989475495
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.18132839960010358,20.0,0.4833364099047056,0.5653572059944869,1.665181727398172,0.3103448275862069,0.40229885057471265,51,0.4417225104353507,-0.6436781609195401,2.863444900857992e-06,-1.1536376625210294,1.1536376625210294
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.1420407698912605,20.0,0.5681291577410774,0.6262670987768597,1.7504937176252942,0.2413793103448276,0.3218390804597701,53,0.5265152582717225,-0.7126436781609194,1.305093094483567e-06,-1.2389494972683726,1.2389494972683726
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.0840737408333356,20.0,0.6937033820454283,0.728285959941665,1.8763675140973657,0.16091954022988506,0.20689655172413793,64,0.6520894825760734,-0.793103448275862,4.0939889256463857e-07,-1.3648232043146202,1.3648232043146202
gas_fraction_penalty_source_gate,gas_frac,source_inverse,0.06812206310109603,20.0,0.7283045497045354,0.7583893441554241,1.91100614125515,0.13793103448275862,0.1724137931034483,68,0.6866906502351805,-0.8160919540229885,2.975720931885917e-07,-1.399461820222847,1.399461820222847
